title,number of ratings
Richard Pryor: Live in Concert,2
Richard Pryor: Live on the Sunset Strip,3
Ricki and the Flash,1
Ricky Gervais Live 3: Fame,1
Ricky Gervais Live 4: Science,1
Ricky Gervais Live: Animals,1
Riddick,5
Ride Along,2
Ride with the Devil,4
Ridicule,5
Riding Alone for Thousands of Miles,1
Riding Giants,1
Riding in Cars with Boys,5
Rififi,2
Riki-Oh: The Story of Ricky,1
Ring of Bright Water,1
Ring of Terror,1
Ringmaster,3
Ringu,13
Ringu 0,1
Ringu 2,1
Rio,5
Rio 2,2
Rio Bravo,4
Rio Grande,1
Rise of the Guardians,5
Rise of the Planet of the Apes,24
Rising Sun,16
Risky Business,42
River's Edge,4
Rivers and Tides,2
Rize,1
Ri¢hie Ri¢h,20
Road House,6
Road Trip,37
Road to Morocco,1
Road to Perdition,38
Road to Singapore,1
Road to Utopia,1
Road to Zanzibar,1
Roadgames,1
Roadkill,1
Roadside Prophets,1
Rob Roy,48
Robin Hood,33
Robin Hood: Men in Tights,65
Robin Hood: Prince of Thieves,44
Robin Williams: An Evening with Robin Williams,1
Robin Williams: Weapons of Self Destruction,1
RoboCop,64
RoboCop 2,19
RoboCop 3,24
Robot & Frank,2
Robot Overlords,1
Robots,13
Rock 'n' Roll High School,1
Rock Star,7
Rock of Ages,5
Rock-A-Doodle,1
RockNRolla,10
Rocket Science,1
RocketMan,7
Rocketship X-M,1
Rocky,69
Rocky Balboa,5
Rocky II,17
Rocky III,21
Rocky IV,21
Rocky V,19
Rocky VI,1
Rodan,1
Roger & Me,42
Roger Dodger,5
Rogue,1
Role Models,14
Role/Play,1
Rollerball,7
Rollercoaster,3
Roman Holiday,26
Roman Polanski: Wanted and Desired,3
Romance,2
Romancing the Stone,65
"Rome, Open City",3
Romeo + Juliet,58
Romeo Is Bleeding,10
Romeo Must Die,19
Romeo and Juliet,13
Romeos,1
Romero,1
Romper Stomper,9
Romy and Michele's High School Reunion,45
Ronin,40
Rookie of the Year,1
Room,5
Room 237,3
Room Service,1
Room at the Top,2
Roommates,3
Rope,12
Roseanna's Grave,2
Rosemary's Baby,36
Rosencrantz & Guildenstern Are Dead,22
Rosetta,2
Rosewood,1
Rough Magic,1
Rough Night in Jericho,1
Rounders,36
Roxanne,13
Royal Wedding,3
Rubber,1
Rubble Kings,1
Ruby Gentry,1
Ruby Sparks,3
Ruby in Paradise,6
Rudolph the Red-Nosed Reindeer,1
"Rudolph, the Red-Nosed Reindeer",1
Rudy,36
Rugrats in Paris: The Movie,4
Rules of Engagement,7
Rumble Fish,1
Rumble in the Bronx,49
Rumor Has It...,3
Run All Night,2
Run Lola Run,80
"Run Silent, Run Deep",6
Runaway,2
Runaway Bride,45
Runaway Jury,10
Runaway Train,6
Runner Runner,1
Running Scared,7
Running on Empty,4
Running with Scissors,2
Rush,14
Rush Hour,43
Rush Hour 2,26
Rush Hour 3,3
Rushmore,68
Russian Ark,5
Russian Dolls,1
Rustom,1
Ruthless People,20
Ryan's Daughter,1
S.W.A.T.,10
S1m0ne,6
SLC Punk,10
SOMM: Into the Bottle,1
SS Experiment Love Camp,1
Sabotage,1
Saboteur,3
Sabrina,76
Sacco & Vanzetti,1
Safe,6
Safe Haven,1
Safe House,4
Safe Men,2
Safe Passage,3
Safety Last!,1
Safety Not Guaranteed,6
Sahara,6
Saint Ralph,1
Saints and Soldiers,1
Salaam Bombay!,2
Salem's Lot,2
Salesman,1
Salome's Last Dance,1
Salsa,1
Salt,12
Salton Sea,3
Saludos Amigos,1
Salvador,2
Salvation Boulevard,1
"Salò, or the 120 Days of Sodom",2
Samba,1
"Same Love, Same Rain",1
"Same Time, Next Year",2
Sammy and Rosie Get Laid,1
Samsara,3
Samurai Fiction,1
Samurai I: Musashi Miyamoto,1
Samurai II: Duel at Ichijoji Temple,1
Samurai III: Duel at Ganryu Island,1
San Andreas,6
Sanjuro,7
Sansho the Bailiff,3
Santa Claus: The Movie,2
Santa Fe Trail,1
Santa Sangre,5
Santa with Muscles,1
Sarah Silverman: Jesus Is Magic,1
Sarfarosh,1
Satan's Brew,1
Saturday Night Fever,11
Saturday Night and Sunday Morning,1
Savage Messiah,1
Savage Nights,1
Savages,2
Savannah Smiles,1
Save the Last Dance,21
Saved!,15
Saving Grace,6
Saving Mr. Banks,8
Saving Private Ryan,191
Saving Silverman,8
Saw,33
Saw II,18
Saw III,7
Saw IV,6
Saw V,3
Saw VI,2
Saw: The Final Chapter,2
Say Anything...,47
Say It Isn't So,2
Scandal,1
Scanners,3
Scaramouche,1
Scarecrow,1
Scarface,53
Scary Movie,37
Scary Movie 2,19
Scary Movie 3,12
Scary Movie 4,4
Scenes from a Marriage,5
Scenes from the Class Struggle in Beverly Hills,3
Scent of a Woman,30
Schindler's List,244
Schizopolis,2
Schneider vs. Bax,1
School Daze,1
School Ties,2
School for Scoundrels,1
School of Rock,51
Schultze Gets the Blues,1
Scooby-Doo,12
Scooby-Doo 2: Monsters Unleashed,2
Scoop,4
Scorpio Rising,1
"Scotland, Pa.",3
Scott Pilgrim vs. the World,26
Scratch,2
Scream,73
Scream 2,32
Scream 3,27
Scream of Stone,2
Screamers,15
Screwed,1
Scrooge,3
Scrooged,30
Scum,1
Se7en,201
Sea of Love,5
Seabiscuit,25
Search Party,1
Searching for Bobby Fischer,45
Searching for Debra Winger,1
Searching for Sugar Man,4
Season of the Witch,1
Secondhand Lions,10
Seconds,1
Secret Window,6
Secretariat,1
Secretary,15
Secrets & Lies,26
Seducing Doctor Lewis,1
"See No Evil, Hear No Evil",4
See Spot Run,1
Seeking Justice,1
Seeking a Friend for the End of the World,3
Seems Like Old Times,2
Selena,8
Self/less,3
Semi-Pro,6
Send Me No Flowers,1
Senior Trip,1
Senna,9
Sense and Sensibility,86
Senseless,3
Separate Lies,1
Serendipity,19
Serenity,40
Sergeant York,2
Serial,1
Serial Mom,18
Series 7: The Contenders,4
Serpico,27
Sesame Street Presents Follow That Bird,1
Session 9,1
Set It Off,3
Seve,1
Seven Beauties,3
Seven Brides for Seven Brothers,5
Seven Chances,1
Seven Days,1
Seven Days in May,6
Seven Pounds,11
Seven Psychopaths,9
Seven Samurai,54
Seven Up!,3
Seven Years in Tibet,19
Seventh Heaven,1
Seventh Son,1
Severance,1
Sex Drive,1
Sex Ed,1
Sex Tape,2
Sex and Lucia,4
Sex and the City,5
Sex and the City 2,1
"Sex, Lies, and Videotape",29
Sex: The Annabel Chong Story,2
Sexmission,2
Sexy Beast,13
Sgt. Bilko,29
Sgt. Pepper's Lonely Hearts Club Band,1
Shades of Ray,1
Shadow Conspiracy,3
Shadow Dancer,1
Shadow of a Doubt,10
Shadow of the Thin Man,3
Shadow of the Vampire,10
Shadowlands,25
Shadows and Fog,5
Shadows of Forgotten Ancestors,1
Shaft,16
Shag,3
Shakes the Clown,3
Shakespeare Wallah,1
Shakespeare in Love,121
Shall We Dance,11
Shall We Dance?,25
Shall We Kiss?,1
Shallow Grave,38
Shallow Hal,23
Shame,8
Shampoo,9
Shane,10
Shanghai Knights,15
Shanghai Noon,38
Shanghai Surprise,2
Shanghai Triad,10
Shaolin Soccer,8
Shark Night,1
Shark Tale,11
Sharknado,1
Sharknado 3: Oh Hell No!,1
Sharknado 4: The 4th Awakens,1
Sharky's Machine,1
Shattered,2
Shattered Glass,10
Shaun of the Dead,70
She Done Him Wrong,1
She Wore a Yellow Ribbon,1
She's All That,29
She's Funny That Way,1
She's Gotta Have It,8
She's Having a Baby,2
She's Out of Control,1
She's Out of My League,4
She's So Lovely,4
She's the Man,3
She's the One,14
She-Devil,5
Shelter,1
Shenandoah,3
Sherlock Holmes,40
Sherlock Holmes: A Game of Shadows,26
"Sherlock, Jr.",5
Sherman's March,1
Sherrybaby,1
Shine,37
Shine a Light,3
Shining Through,1
Shiri,2
Shirley Valentine,4
Shiver,1
Shivers,2
Shoah,1
Shock Corridor,1
Shogun Assassin,1
Sholay,1
Shoot 'Em Up,4
Shoot the Moon,2
Shoot the Piano Player,4
Shoot to Kill,1
Shooter,7
Shooting Dogs,1
Shooting Fish,2
Shopgirl,3
Shopping,1
Short Circuit,14
Short Circuit 2,3
Short Cuts,26
Short Term 12,2
Shortbus,4
Show Boat,3
Show Me Love,5
Shower,2
Showgirls,35
Showtime,5
Shrek,174
Shrek 2,81
Shrek Forever After,5
Shrek the Halls,2
Shrek the Third,13
Shriek If You Know What I Did Last Friday the Thirteenth,1
Shrink,1
Shutter Island,51
Sicario,7
Sicko,12
Sid & Nancy,11
Side Effects,8
Side by Side,1
Sidewalks of New York,2
Sidewalls,1
Sideways,45
Sightseers,2
Signs,54
Signs of Life,1
Sigur Rós: Heima,1
Silent Fall,1
Silent Hill,4
Silent Running,2
Silent Souls,1
Silk,1
Silk Stockings,2
Silkwood,5
Silver Bullet,2
Silver Linings Playbook,22
Silver Streak,2
Silverado,5
Simon Birch,8
Simon Sez,2
Simon of the Desert,2
Simply Irresistible,5
Sin City,80
Sin City: A Dame to Kill For,1
Sin Nombre,2
Sinbad and the Eye of the Tiger,5
Sinbad: Legend of the Seven Seas,1
Sing Street,1
Singin' in the Rain,64
Single White Female,11
Singles,12
Sinister,2
Sirens,10
Sister Act,37
Sister Act 2: Back in the Habit,15
Sisters,5
Sita Sings the Blues,1
Six Days Seven Nights,23
Six Degrees of Separation,25
Six Shooter,1
Six by Sondheim,1
Six-String Samurai,3
Sixteen Candles,46
Skin Deep,2
Skinwalkers,1
Sky Captain and the World of Tomorrow,11
Sky High,12
Skyfall,24
Skyline,4
Slacker,5
Slackers,2
Slam,1
Slap Shot,8
Slaughterhouse-Five,1
Slaves of New York,1
Sleep Dealer,1
Sleepaway Camp,2
Sleeper,39
Sleepers,33
Sleeping Beauty,35
Sleeping Dogs Lie,1
Sleeping with the Enemy,3
Sleepless in Seattle,125
Sleepover,1
Sleepwalk with Me,2
Sleepwalkers,3
Sleepy Hollow,52
Sleuth,6
Sliding Doors,26
Slim Susie,1
Sling Blade,66
Slither,2
Sliver,18
Slumber Party Massacre II,1
Slumber Party Massacre III,1
Slumdog Millionaire,52
Slums of Beverly Hills,10
Small Faces,1
Small Soldiers,17
Small Time Crooks,10
Smile,1
Smiles of a Summer Night,4
Smiley Face,1
Smiling Fish & Goat On Fire,1
Smilla's Sense of Snow,6
Smoke,24
Smoke Signals,13
Smokey and the Bandit,6
Smokey and the Bandit II,2
Smokey and the Bandit Part 3,2
Smokin' Aces,4
Snake Eyes,23
Snake in the Eagle's Shadow,1
Snakes on a Plane,10
Snatch,95
Sneakers,51
Sniper,2
Snipes,1
"Snoopy, Come Home",1
Snow Day,6
Snow Dogs,5
Snow Falling on Cedars,13
Snow White and the Huntsman,5
Snow White and the Seven Dwarfs,71
Snowpiercer,7
Snowriders,1
So Dear to My Heart,1
So Fine,1
So I Married an Axe Murderer,52
Soapdish,12
Solace,1
Solaris,18
Soldier,7
Soldier of Orange,1
Soldier's Girl,1
Solo,1
Some Folks Call It a Sling Blade,12
Some Kind of Beautiful,1
Some Kind of Wonderful,12
Some Like It Hot,66
Someone Like You...,4
Someone Marry Barry,1
Someone to Watch Over Me,6
Somersault,1
Something Borrowed,1
Something Wicked This Way Comes,6
Something Wild,3
Something the Lord Made,1
Something to Talk About,14
Something's Gotta Give,12
Somewhere in Time,18
Somm,1
Sommersby,18
Son in Law,19
Son of Dracula,1
Son of Flubber,2
Son of Frankenstein,1
Son of Lassie,1
Son of Rambow,2
Son of a Gun,1
Son of the Bride,2
Sonatine,3
Song of the Sea,2
Song of the South,10
Song of the Thin Man,2
Songs from the Second Floor,2
Sophie Scholl: The Final Days,3
Sophie's Choice,26
Sorcerer,1
Sorority Boys,4
Sorority House Massacre,1
Sorority House Massacre II,1
"Sorry, Wrong Number",2
Soul Food,2
Soul Kitchen,2
Soul Man,9
Soul Men,1
Soul Plane,4
Sound City,1
Sound and Fury,1
Sound of My Voice,1
Sound of Noise,1
Sounder,3
Sour Grapes,1
Source Code,24
South Pacific,14
"South Park: Bigger, Longer & Uncut",75
South Park: Imaginationland,4
Southern Comfort,2
Southland Tales,4
Southpaw,2
Soylent Green,17
Space Chimps,1
Space Cowboys,18
Space Jam,50
SpaceCamp,1
Spaceballs,58
Spacehunter: Adventures in the Forbidden Zone,1
Spanglish,9
Spanking the Monkey,9
Sparkle,1
Spartacus,19
Spartan,7
Spawn,15
Species,55
Species II,8
Spectre,4
Speechless,12
Speed,180
Speed 2: Cruise Control,23
Speed Racer,2
Spellbound,32
Spencer's Mountain,1
Sphere,19
Spice World,13
Spider,4
Spider Baby,1
Spider-Man,134
Spider-Man 2,84
Spider-Man 3,23
Spies Like Us,3
Spinout,1
Spiral,1
Spirit: Stallion of the Cimarron,3
Spirited Away,63
Spirits of the Dead,1
Splash,52
Splendor,2
Splendor in the Grass,7
Splice,2
Splinter,1
Spotlight,9
Spring Breakers,3
Spring Forward,1
"Spring, Summer, Fall, Winter... and Spring",6
Sprung,1
Spun,3
Spy,5
Spy Game,26
Spy Hard,22
Spy Kids,14
Spy Kids 2: The Island of Lost Dreams,8
Spy Kids 3-D: Game Over,3
Squanto: A Warrior's Tale,2
St. Elmo's Fire,18
St. Vincent,2
Stag,2
Stage Beauty,1
Stage Door,1
Stage Fright,2
Stagecoach,5
Stake Land,1
Stakeout,2
Stalag 17,20
Stalingrad,3
Stalker,10
Stand Up Guys,1
Stand Up and Cheer!,1
Stand and Deliver,11
Stand by Me,112
Stander,1
Standing in the Shadows of Motown,3
Standoff,1
Stanley & Iris,3
Stanley Kubrick: A Life in Pictures,1
Star 80,1
Star Kid,1
Star Maps,1
Star Trek,51
Star Trek Beyond,2
Star Trek II: The Wrath of Khan,72
Star Trek III: The Search for Spock,54
Star Trek IV: The Voyage Home,65
Star Trek Into Darkness,20
Star Trek V: The Final Frontier,25
Star Trek VI: The Undiscovered Country,47
Star Trek: First Contact,82
Star Trek: Generations,114
Star Trek: Insurrection,17
Star Trek: Nemesis,10
Star Trek: The Motion Picture,47
Star Wars,291
Star Wars: Episode I - The Phantom Menace,138
Star Wars: Episode II - Attack of the Clones,82
Star Wars: Episode III - Revenge of the Sith,62
Star Wars: The Clone Wars,3
Star Wars: The Force Awakens,29
Star Wreck: In the Pirkinning,1
Starbuck,2
Stardom,1
Stardust,23
Stardust Memories,8
Stargate,145
Stargate: Continuum,1
Stargate: The Ark of Truth,1
Starman,22
Starred Up,1
Starry Eyes,1
Stars & Bars,1
Starship Troopers,72
Starship Troopers 2: Hero of the Federation,2
Starship Troopers 3: Marauder,1
Starsky & Hutch,17
Start the Revolution Without Me,1
Starting Over,1
Startup.com,5
State Fair,2
State and Main,15
State of Grace,1
State of Play,7
State of Siege,1
Staten Island,1
Stay,1
Stay Alive,1
Stay Tuned,3
Staying Alive,4
Steal Big Steal Little,1
Steal This Movie,3
Stealing Beauty,4
Stealing Harvard,1
Stealing Home,4
Stealth,4
Steam of Life,1
Steam: The Turkish Bath,1
"Steamboat Bill, Jr.",4
Steamboat Willie,7
Steamboy,2
Steel,4
Steel Magnolias,20
Stella Dallas,1
Step Brothers,14
Step Into Liquid,2
Step Up,4
Step Up 2: The Streets,1
Stephen Tobolowsky's Birthday Party,1
Stepmom,5
Steve Jobs,2
Stevie,7
Stick It,2
Stigmata,24
Still Breathing,1
Still Crazy,4
Still Walking,1
Stir Crazy,5
Stir of Echoes,22
Stoker,1
Stolen Kisses,4
Stolen Summer,1
Stone Reader,1
Stonehearst Asylum,2
Stonewall,2
Stop Making Sense,5
Stop! Or My Mom Will Shoot,10
Storefront Hitchcock,1
Stories We Tell,1
Stormbreaker,1
Storytelling,8
Stowaway,1
Straight Outta Compton,3
Straight Talk,2
Straight to Hell,1
Straight-Jacket,1
Strange Brew,10
Strange Days,43
Stranger Than Fiction,40
Stranger Than Paradise,8
Strangers on a Train,23
Strangers with Candy,1
Straw Dogs,3
Strawberry and Chocolate,7
Stray Dog,1
Streamers,1
Street Fight,1
Street Fighter,5
Street Kings,2
Street Trash,1
Stretch,1
Strictly Ballroom,34
Strictly Business,1
Striking Distance,9
Stripes,40
Striptease,39
Stromboli,1
Stroszek,3
Stuart Little,27
Stuart Little 2,5
Stuart Saves His Family,5
Stuck on You,5
Student of the Year,1
SubUrbia,1
Submarine,2
Suburban Commando,2
Suburbia,3
Sucker Punch,6
Sudden Death,20
Sudden Impact,1
Suddenly,1
"Suddenly, Last Summer",3
Suffragette,1
Sugar & Spice,2
Suicide Club,5
Suicide Kings,9
Suicide Squad,1
Sukiyaki Western Django,1
Sullivan's Travels,6
Summer Catch,1
Summer Hours,1
Summer Lovers,1
Summer Rental,2
Summer School,1
Summer Stock,1
Summer Storm,2
Summer Wars,4
Summer of '42,1
Summer of Sam,21
Summer with Monika,1
Summertime,1
Sunday Bloody Sunday,1
Sunday in the Country,1
Sunless,2
Sunrise: A Song of Two Humans,3
Sunset Boulevard,39
Sunshine,13
Sunshine Cleaning,4
Sunshine State,3
Sunspring,1
Super,3
Super 8,12
Super Fly,1
Super High Me,1
Super Mario Bros.,17
Super Size Me,45
Super Troopers,11
Superbabies: Baby Geniuses 2,2
Superbad,44
Superfast!,1
Supergirl,5
Superhero Movie,4
Superman,75
Superman II,38
Superman III,24
Superman IV: The Quest for Peace,12
Superman Returns,13
Superman and the Mole-Men,1
Supernova,1
Superstar,6
Superstar: The Karen Carpenter Story,2
Support Your Local Sheriff,2
Surf Nazis Must Die,2
Surf's Up,2
Surfwise,1
Surrogates,7
Survival Island,1
Survive and Advance,1
Surviving Christmas,1
Surviving Picasso,1
Surviving the Game,5
Survivor,1
Susannah of the Mounties,1
Suspect,1
Suspect Zero,1
Suspicion,5
Suspiria,4
Suture,4
Swamp Thing,10
Swedish Auto,1
Sweeney Todd: The Demon Barber of Fleet Street,19
Sweet Bird of Youth,1
Sweet Charity,2
Sweet Dreams,1
Sweet Home Alabama,22
Sweet Liberty,1
Sweet November,6
Sweet Sixteen,2
Sweet Smell of Success,7
Sweet and Lowdown,12
Swelter,1
Swept Away,4
Swimfan,2
Swimming Pool,5
Swimming Upstream,1
Swimming to Cambodia,3
Swimming with Sharks,14
Swing Kids,10
Swing Shift,2
Swing Time,1
Swingers,42
Swiss Family Robinson,17
Switchback,4
Switching Channels,1
Sword of Vengeance,1
Sword of the Stranger,1
Swordfish,33
Sydney White,1
Sylvia,1
Sylvia Scarlett,1
Sympathy for Lady Vengeance,3
Sympathy for Mr. Vengeance,1
"Synecdoche, New York",3
Syriana,16
Syrup,1
T-Men,1
T-Rex: Back to the Cretaceous,2
TEKKEN,1
THX 1138,4
TMNT,1
TRON: Legacy,13
Tabu,1
Tae Guk Gi: The Brotherhood of War,1
Tai-Chi Master,2
Take Me Home Tonight,1
Take Me Out to the Ball Game,2
Take Shelter,1
Take This Waltz,1
Take the Lead,1
Take the Money and Run,10
Taken,31
Taken 2,4
Taken 3,1
Takers,1
Taking Care of Business,1
Taking Lives,4
Taking Sides,1
Taking Woodstock,1
Tales from the Crypt: Demon Knight,8
Tales from the Darkside: The Movie,5
Tales from the Hood,10
Tales of the Black Freighter,1
Talk Radio,4
Talk to Her,16
Talk to Me,1
Tall Tale,1
Talladega Nights: The Ballad of Ricky Bobby,17
Tallulah,1
Tammy,1
Tampopo,5
Tangerine,1
Tangled,21
Tangled Ever After,1
Tango,1
Tango & Cash,10
Tank Girl,26
Tap,1
Tape,4
Tapeheads,1
Taps,4
Tarantula,2
Tarnation,3
Tarzan,28
Tarzan Finds a Son!,1
Tarzan and His Mate,1
"Tarzan, the Ape Man",1
Taste of Cherry,2
Taxi,1
Taxi 2,1
Taxi Driver,118
Taxi to the Dark Side,2
Taxidermia,1
Tea with Mussolini,8
Teaching Mrs. Tingle,11
Team America: World Police,20
Tears of the Sun,7
Ted,10
Ted 2,3
Teen Wolf,8
Teenage Caveman,1
Teenage Mutant Ninja Turtles,21
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,10
Teenage Mutant Ninja Turtles III,5
Teenage Mutant Ninja Turtles: Out of the Shadows,1
Teeth,1
Tekkonkinkreet,4
Tell No One,3
Temple Grandin,3
Ten,2
Tenacious D in The Pick of Destiny,4
Tender Mercies,13
Tenebre,2
Teorema,1
Tequila Sunrise,10
Terminal USA,1
Terminal Velocity,9
Terminator 2: Judgment Day,237
Terminator 3: Rise of the Machines,38
Terminator Genisys,7
Terminator Salvation,13
Terms of Endearment,34
Tess,2
Testament,2
Tetsuo II: Body Hammer,1
Tetsuo: The Iron Man,4
Tex,3
Texas Chainsaw Massacre: The Next Generation,4
Thank You for Smoking,40
That Awkward Moment,1
That Darn Cat,6
That Darn Cat!,10
That Obscure Object of Desire,3
That Old Feeling,2
That Thing You Do!,49
That Touch of Mink,1
That was Then... This is Now,1
That's Entertainment!,4
That's Entertainment! III,1
"That's Entertainment, Part II",1
That's Life!,1
That's My Boy,2
The 'Burbs,19
The 100 Year-Old Man Who Climbed Out the Window and Disappeared,1
The 10th Kingdom,2
The 13th Warrior,25
The 24 Hour Woman,1
The 3 Penny Opera,2
The 3 Worlds of Gulliver,1
The 36th Chamber of Shaolin,2
The 39 Steps,16
The 40 Year Old Virgin,51
The 400 Blows,14
The 41–Year–Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It,1
"The 5,000 Fingers of Dr. T.",3
The 51st State,1
The 6th Day,20
The 7th Voyage of Sinbad,7
The A-Team,12
The Abominable Dr. Phibes,2
The Absent-Minded Professor,19
The Abyss,71
The Accidental Tourist,5
The Accused,7
The Act of Killing,4
The Addams Family,35
The Addiction,3
The Adjustment Bureau,12
The Adventures of Baron Munchausen,13
The Adventures of Buckaroo Banzai Across the 8th Dimension,11
The Adventures of Elmo in Grouchland,4
The Adventures of Ford Fairlane,1
The Adventures of Huck Finn,1
The Adventures of Ichabod and Mr. Toad,2
The Adventures of Mary-Kate & Ashley: The Case of the United States Navy Adventure,1
The Adventures of Milo and Otis,9
The Adventures of Pinocchio,4
The Adventures of Pluto Nash,5
"The Adventures of Priscilla, Queen of the Desert",48
The Adventures of Robin Hood,18
The Adventures of Rocky & Bullwinkle,6
The Adventures of Sebastian Cole,1
The Adventures of Sharkboy and Lavagirl,3
The Adventures of Tintin,7
The Advocate,1
The African Queen,50
The Age of Adaline,1
The Age of Innocence,25
The Age of Stupid,1
The Agony and Ecstasy of Phil Spector,1
The Agony and the Ecstasy,1
The Air Up There,7
The Alamo,5
The Allnighter,1
The Amazing Panda Adventure,3
The Amazing Spider-Man,20
The Amazing Spider-Man 2,6
The Ambassador,1
The American,4
The American Friend,2
The American President,82
The Americanization of Emily,2
The Amityville Curse,1
The Amityville Horror,15
The Anderson Tapes,1
The Andromeda Strain,9
The Animal,8
The Animatrix,17
The Anniversary Party,6
The Ant Bully,4
The Apartment,33
The Apostle,16
The Apple Dumpling Gang,11
The Apple Dumpling Gang Rides Again,4
The Apprenticeship of Duddy Kravitz,1
The Aristocats,42
The Aristocrats,6
The Arrival,22
The Art of Getting By,1
The Art of Negative Thinking,1
The Art of War,1
The Art of the Steal,2
The Artist,6
The Asphalt Jungle,7
The Assassination of Jesse James by the Coward Robert Ford,3
The Assassination of Richard Nixon,1
The Assignment,2
The Associate,7
The Astronaut Farmer,2
The Astronaut's Wife,11
The Atomic Cafe,2
The Atticus Institute,1
The Avengers,59
The Aviator,34
The Awful Truth,5
The Baader Meinhof Complex,2
The Babadook,6
The Baby of Mâcon,1
The Baby-Sitters Club,1
The Babysitter,7
The Bachelor,13
The Bachelor and the Bobby-Soxer,1
The Back-Up Plan,1
The Bad Lieutenant: Port of Call - New Orleans,3
The Bad News Bears,3
The Bad News Bears in Breaking Training,2
The Bad Seed,5
The Bad and the Beautiful,5
The Ballad of Cable Hogue,1
The Ballad of Little Jo,1
The Ballad of Narayama,1
The Ballad of Ramblin' Jack,1
The Band Wagon,6
The Band's Visit,3
The Bank Dick,9
The Bank Job,11
The Barbarian Invasions,6
The Barefoot Contessa,4
The Barefoot Executive,1
The Basketball Diaries,21
The Battered Bastards of Baseball,1
The Battle of Algiers,6
The Beach,27
The Bear,8
The Beast of War,1
The Beastmaster,4
The Beatles: Eight Days a Week - The Touring Years,1
The Beautician and the Beast,7
The Beaver,1
The Bedroom Window,3
The Believer,4
The Believers,7
The Bellboy,1
The Bells of St. Mary's,1
The Benchwarmers,1
The Benny Goodman Story,2
The Best Exotic Marigold Hotel,3
The Best Little Whorehouse in Texas,4
The Best Man,2
The Best Man's Wedding,1
The Best Offer,4
The Best Years of Our Lives,11
The Best of Everything,1
The Best of Me,1
The Best of Youth,4
The Betrayal (Nerakhoon),1
The Beverly Hillbillies,15
The Beyond,3
The Big Bang,1
The Big Blue,5
The Big Boss,3
The Big Bounce,2
The Big Brawl,1
The Big Bus,2
The Big Chill,36
The Big Combo,1
The Big Country,4
The Big Easy,4
The Big Gay Musical,1
The Big Green,3
The Big Heat,3
The Big Hit,5
The Big Kahuna,11
The Big Knife,1
The Big Lebowski,120
The Big One,9
The Big Picture,3
The Big Red One,2
The Big Short,10
The Big Sleep,33
The Big Store,2
The Big Tease,2
The Big Town,1
The Big Trees,1
The Big Year,2
The Bigamist,1
The Biggest Fan,1
The Birdcage,93
The Birds,51
The Birth of a Nation,2
The Bishop's Wife,3
The Bitter Tears of Petra von Kant,1
The Black Cat,1
The Black Cauldron,12
The Black Dahlia,1
The Black Hole,9
The Black Pirate,1
The Black Stallion,5
The Blair Witch Project,86
The Blind Side,19
The Bling Ring,2
The Blob,19
The Blood on Satan's Claw,1
The Bloody Child,1
The Blue Angel,9
The Blue Dahlia,1
The Blue Gardenia,1
The Blue Lagoon,19
The Blue Max,1
The Blue Umbrella,1
The Blues Brothers,94
The Boat,1
The Boat That Rocked,10
The Body Snatcher,3
The Bodyguard,29
The Bone Collector,30
The Bonfire of the Vanities,12
The Book Thief,2
The Book of Eli,17
The Book of Life,2
The Boondock Saints,22
The Borderlands,1
The Borrowers,10
The Boss of It All,1
The Boston Strangler,2
The Bothersome Man,1
The Bounty,1
The Bounty Hunter,4
The Bourne Identity,113
The Bourne Legacy,7
The Bourne Supremacy,74
The Bourne Ultimatum,61
The Box,1
The Boxtrolls,1
The Boy,1
The Boy Next Door,1
The Boy Who Could Fly,7
The Boy and the Beast,1
The Boy in the Striped Pyjamas,8
The Boys from Brazil,7
The Boys of St. Vincent,5
The Brady Bunch Movie,41
The Brain That Wouldn't Die,3
The Brandon Teena Story,1
The Brass Teapot,1
The Brave Little Toaster,8
The Brave Little Toaster Goes to Mars,1
The Break-Up,5
The Breakfast Club,117
The Bridge,2
The Bridge on the River Kwai,65
The Bridges of Madison County,48
The Broadway Melody,1
The Broken Circle Breakdown,1
The Broken Hearts Club: A Romantic Comedy,3
The Brood,1
The Brother from Another Planet,3
The Brothers Bloom,6
The Brothers Grimm,11
The Brothers McMullen,26
The Brown Bunny,1
The Browning Version,3
The Bucket List,12
The Buddy Holly Story,10
The Burmese Harp,1
The Burning,1
The Business of Being Born,1
The Business of Strangers,5
The Butcher Boy,9
The Butcher's Wife,6
The Butler,1
The Butterfly Effect,48
The Butterfly Effect 3: Revelations,1
The Cabin in the Woods,13
The Cabinet of Dr. Caligari,13
The Cable Guy,59
The Caine Mutiny,9
The Call,1
The Call of Cthulhu,1
The Cameraman,1
The Campaign,6
The Canal,1
The Candidate,16
The Cannonball Run,4
The Canterbury Tales,1
The Captive,1
The Car,1
The Care Bears Movie,1
The Castle,3
The Cat Returns,3
The Cat from Outer Space,8
The Cat in the Hat,3
The Cat's Meow,3
The Cave,1
The Celebration,11
The Cell,34
The Celluloid Closet,17
The Cement Garden,3
The Central Park Five,1
The Chamber,6
The Champ,3
The Change-Up,3
The Changeling,3
The Chaser,1
The Cheap Detective,2
The Chicago 8,1
The Children's Hour,2
The China Syndrome,4
The Chorus,6
